quartier,superficie,nombre_chambres,douche_wc,type_d_acces,meuble,etat_general,loyer_mensuel
Ankorondrano,97,1,interieur,voiture_avec_parking,oui,mauvais,3215000
Itaosy,65,3,exterieur,sans,non,bon,758000
Ankorondrano,43,2,interieur,sans,oui,bon,2412000
Analakely,89,1,interieur,voiture,non,moyen,1529000
Alasora,46,2,exterieur,moto,non,moyen,859000
Isoraka,30,2,interieur,voiture,oui,mauvais,1761000
Itaosy,29,3,exterieur,voiture,non,moyen,676000
Ivandry,46,1,interieur,voiture_avec_parking,oui,mauvais,2751000
Itaosy,108,2,exterieur,moto,non,mauvais,748000
Mahamasina,71,1,interieur,voiture,non,mauvais,1156000
Ivandry,86,3,interieur,voiture,oui,mauvais,3562000
Isoraka,90,3,interieur,voiture,non,moyen,2451000
Ambatoroka,77,1,interieur,voiture,non,bon,1339000
Ambatoroka,31,2,interieur,voiture_avec_parking,non,moyen,1020000
Alasora,83,3,exterieur,moto,non,bon,1447000
Andavamamba,58,2,interieur,sans,non,bon,699000
Ambatoroka,15,3,interieur,moto,oui,moyen,830000
Analakely,40,2,interieur,moto,non,bon,1283000
Alasora,87,1,interieur,voiture_avec_parking,oui,bon,2019000
Ankorondrano,15,2,interieur,moto,non,moyen,1102000
Ankorondrano,58,2,interieur,moto,non,moyen,1928000
Ambatoroka,80,2,exterieur,voiture,non,bon,1253000
Alasora,114,3,interieur,voiture_avec_parking,non,moyen,2271000
Alasora,75,2,interieur,moto,non,moyen,1291000
Alasora,86,1,interieur,voiture,oui,moyen,1802000
Ambatoroka,67,2,interieur,voiture,non,bon,1216000
Alasora,15,2,exterieur,moto,non,moyen,604000
Ankatso,17,1,interieur,moto,oui,moyen,891000
Alasora,89,1,interieur,voiture,non,bon,1613000
Analakely,54,1,interieur,moto,non,moyen,1221000
Mahamasina,67,4,exterieur,voiture,oui,mauvais,1430000
Ambatoroka,35,1,interieur,voiture_avec_parking,non,bon,1143000
Andavamamba,92,1,interieur,voiture,non,bon,1090000
Mahamasina,54,1,interieur,voiture,non,moyen,1050000
Ankatso,25,2,interieur,moto,non,bon,568000
Andavamamba,21,3,exterieur,voiture,non,bon,694000
Mahamasina,108,2,exterieur,voiture,oui,moyen,1784000
Andavamamba,29,1,interieur,moto,non,bon,558000
Analakely,15,1,interieur,voiture,oui,bon,1358000
Itaosy,102,4,exterieur,voiture,non,bon,1342000
Isoraka,26,1,interieur,voiture,non,mauvais,1018000
Alasora,19,2,interieur,voiture_avec_parking,non,mauvais,895000
Ankatso,34,1,interieur,moto,non,bon,771000
Ivandry,51,2,exterieur,sans,non,moyen,1466000
Ivandry,59,2,interieur,voiture,non,mauvais,2088000
Ankatso,96,3,exterieur,moto,non,mauvais,1023000
Ambatoroka,103,2,interieur,voiture,non,moyen,1492000
Ambatoroka,70,2,exterieur,sans,non,bon,1135000
Andavamamba,15,1,interieur,voiture,non,bon,538000
Andavamamba,45,1,interieur,voiture,non,bon,852000
Ambatoroka,106,1,interieur,moto,oui,moyen,1626000
Analakely,90,1,interieur,moto,non,moyen,1593000
Ambatoroka,80,1,interieur,voiture,non,bon,1285000
Ankatso,80,2,interieur,moto,non,bon,1189000
Ambatoroka,34,2,interieur,voiture,non,mauvais,678000
Ivandry,58,1,interieur,voiture,non,moyen,2266000
Mahamasina,90,2,interieur,moto,oui,bon,1878000
Ankatso,110,1,interieur,sans,non,bon,1360000
Alasora,78,1,interieur,voiture_avec_parking,oui,moyen,1840000
Alasora,32,1,interieur,moto,non,moyen,885000
Ankatso,74,1,interieur,voiture,non,bon,1218000
Isoraka,15,1,exterieur,sans,non,moyen,583000
Andavamamba,75,1,interieur,voiture_avec_parking,oui,bon,1127000
Ivandry,35,1,interieur,voiture,non,bon,1879000
Ankatso,61,1,interieur,moto,oui,moyen,961000
Itaosy,72,2,interieur,voiture,oui,moyen,1157000
Ambatoroka,61,2,interieur,moto,non,moyen,933000
Ankorondrano,79,2,exterieur,voiture,oui,mauvais,2527000
Itaosy,56,1,interieur,sans,oui,bon,876000
Analakely,56,2,interieur,voiture,non,mauvais,1301000
Alasora,49,2,interieur,voiture,non,moyen,1228000
Itaosy,58,2,interieur,voiture_avec_parking,non,moyen,1133000
Ambatoroka,15,3,exterieur,voiture,oui,moyen,901000
Ambatoroka,40,1,interieur,moto,non,bon,942000
Andavamamba,50,1,exterieur,moto,non,bon,506000
Ivandry,70,2,interieur,moto,non,moyen,2467000
Alasora,56,2,interieur,voiture,non,bon,1435000
Isoraka,70,3,interieur,moto,oui,mauvais,2414000
Ambatoroka,79,2,exterieur,moto,oui,bon,1423000
Isoraka,77,5,interieur,voiture_avec_parking,non,moyen,3027000
Ambatoroka,75,1,interieur,sans,non,moyen,1075000
Ankorondrano,57,1,exterieur,moto,non,moyen,1628000
Andavamamba,60,2,interieur,sans,non,bon,738000
Andavamamba,39,3,interieur,voiture_avec_parking,non,bon,816000
Ankorondrano,92,2,interieur,voiture_avec_parking,oui,bon,3826000
Ambatoroka,62,1,interieur,voiture,oui,bon,1347000
Ivandry,15,2,interieur,voiture_avec_parking,non,moyen,1974000
Ankorondrano,33,1,interieur,voiture,oui,moyen,2090000
Isoraka,92,2,interieur,moto,non,bon,2418000
Ankorondrano,99,2,exterieur,voiture_avec_parking,non,mauvais,2684000
Ankatso,37,1,interieur,moto,non,bon,606000
Ambatoroka,96,2,interieur,voiture,oui,moyen,1664000
Ambatoroka,41,1,interieur,moto,non,bon,858000
Andavamamba,60,3,interieur,voiture,non,moyen,962000
Ambatoroka,94,2,exterieur,sans,non,bon,1314000
Mahamasina,35,1,interieur,voiture_avec_parking,non,bon,1149000
Ankorondrano,42,2,interieur,voiture,non,moyen,1906000
Ankatso,15,1,interieur,voiture,oui,bon,916000
Ankorondrano,41,1,interieur,moto,non,bon,1860000
Ambatoroka,59,1,interieur,moto,non,bon,1060000
Andavamamba,101,1,exterieur,voiture,non,moyen,875000
Ambatoroka,93,1,interieur,voiture_avec_parking,non,moyen,1465000
Isoraka,18,4,interieur,voiture,non,bon,1828000
Ambatoroka,63,3,exterieur,voiture_avec_parking,non,bon,1352000
Ivandry,85,2,interieur,voiture,oui,moyen,3605000
Ambatoroka,56,1,interieur,voiture,non,bon,1022000
Alasora,72,1,interieur,voiture,oui,bon,1799000
Analakely,57,2,interieur,voiture_avec_parking,non,moyen,1585000
Ankorondrano,19,1,interieur,sans,non,bon,1240000
Ambatoroka,64,3,interieur,voiture,non,moyen,1059000
Mahamasina,81,1,interieur,voiture_avec_parking,non,bon,1659000
Itaosy,89,2,interieur,voiture_avec_parking,oui,moyen,1395000
Analakely,68,2,interieur,voiture,oui,bon,1956000
Isoraka,77,2,interieur,voiture_avec_parking,non,bon,2876000
Mahamasina,33,1,interieur,voiture,oui,bon,1301000
Analakely,42,2,interieur,voiture,non,mauvais,973000
Ambatoroka,65,1,interieur,voiture,oui,bon,1508000
Ankatso,15,2,interieur,moto,non,bon,632000
Mahamasina,39,2,interieur,sans,non,bon,1003000
Alasora,89,1,interieur,voiture,non,mauvais,1396000
Ankatso,53,2,interieur,moto,oui,bon,1135000
Andavamamba,15,1,interieur,moto,non,bon,447000
Ivandry,24,2,interieur,voiture,non,bon,2011000
Andavamamba,89,1,interieur,voiture,oui,bon,1321000
Itaosy,106,3,interieur,voiture,non,mauvais,1204000
Ankorondrano,67,3,interieur,moto,non,bon,2672000
Mahamasina,57,1,interieur,voiture,oui,bon,1503000
Analakely,83,1,interieur,voiture,oui,bon,2093000
Mahamasina,69,3,interieur,sans,non,moyen,1160000
Isoraka,25,2,interieur,moto,non,moyen,1399000
Analakely,52,1,exterieur,voiture,oui,moyen,1363000
Isoraka,59,2,interieur,voiture,non,bon,2203000
Ivandry,69,2,interieur,sans,non,bon,2528000
Ambatoroka,61,1,exterieur,moto,non,bon,944000
Ankorondrano,70,4,interieur,voiture,non,mauvais,2363000
Alasora,40,1,interieur,moto,oui,mauvais,929000
Ankatso,17,1,exterieur,moto,non,bon,602000
Andavamamba,76,1,interieur,moto,oui,bon,924000
Ankorondrano,24,2,interieur,sans,non,moyen,1287000
Ivandry,41,3,interieur,sans,non,moyen,1814000
Itaosy,50,2,exterieur,voiture,non,moyen,543000
Ivandry,56,2,interieur,voiture,non,mauvais,2133000
Ankorondrano,69,2,interieur,voiture_avec_parking,non,bon,3076000
Ankatso,71,3,interieur,moto,non,moyen,1155000
Andavamamba,48,2,interieur,voiture_avec_parking,non,moyen,841000
Analakely,33,2,exterieur,voiture,non,bon,1109000
Itaosy,28,1,exterieur,sans,non,mauvais,236000
Ambatoroka,82,2,exterieur,voiture,non,bon,1406000
Isoraka,62,2,interieur,moto,non,mauvais,1482000
Analakely,50,3,interieur,voiture,non,bon,1592000
Andavamamba,87,1,interieur,voiture,non,mauvais,742000
Itaosy,61,2,interieur,moto,non,moyen,828000
Ambatoroka,15,2,interieur,moto,oui,moyen,822000
Ankatso,92,1,interieur,moto,non,bon,1188000
Analakely,97,1,exterieur,moto,oui,moyen,1865000
Andavamamba,15,2,exterieur,voiture,non,bon,596000
Mahamasina,64,2,interieur,moto,oui,moyen,1455000
Alasora,78,1,exterieur,voiture,non,moyen,1185000
Ivandry,83,1,exterieur,moto,non,bon,2457000
Ankorondrano,34,1,interieur,voiture_avec_parking,non,bon,2198000
Ivandry,61,1,interieur,sans,non,mauvais,1675000
Analakely,72,1,interieur,voiture_avec_parking,non,bon,1965000
Itaosy,21,1,exterieur,voiture,oui,moyen,731000
Isoraka,67,2,exterieur,voiture_avec_parking,oui,bon,2765000
Alasora,37,2,exterieur,moto,non,bon,986000
Analakely,42,2,interieur,voiture_avec_parking,non,bon,1633000
Itaosy,67,3,interieur,moto,non,moyen,1131000
Analakely,15,1,interieur,voiture_avec_parking,non,moyen,962000
Andavamamba,60,2,interieur,voiture,oui,bon,1026000
Andavamamba,49,1,interieur,moto,non,bon,682000
Ambatoroka,79,2,interieur,voiture,non,bon,1519000
Mahamasina,15,2,interieur,voiture,non,bon,936000
Ankatso,37,2,interieur,moto,non,mauvais,683000
Ivandry,43,2,interieur,sans,oui,bon,2462000
Andavamamba,24,2,interieur,voiture_avec_parking,non,bon,479000
Andavamamba,68,2,interieur,voiture,non,moyen,947000
Analakely,93,1,exterieur,voiture,non,bon,1762000
Ankatso,73,3,interieur,sans,non,bon,1140000
Ivandry,75,1,exterieur,moto,non,bon,2325000
Isoraka,91,3,interieur,moto,oui,moyen,2887000
Ivandry,47,2,exterieur,voiture,non,moyen,1954000
Mahamasina,67,1,interieur,moto,non,moyen,1051000
Alasora,89,4,interieur,voiture,non,mauvais,1755000
Mahamasina,74,2,interieur,moto,non,bon,1210000
Itaosy,68,2,interieur,voiture_avec_parking,non,moyen,1118000
Ankorondrano,45,1,interieur,moto,non,mauvais,1300000
Ivandry,69,1,interieur,moto,non,bon,2360000
Ankatso,75,2,interieur,voiture,non,mauvais,1011000
Analakely,48,1,interieur,voiture,non,bon,1417000
Ankorondrano,60,3,exterieur,moto,non,bon,2202000
Ambatoroka,37,1,interieur,voiture,non,bon,1050000
Andavamamba,56,3,interieur,voiture_avec_parking,oui,mauvais,1048000
Ivandry,28,4,interieur,voiture,non,bon,2489000
Mahamasina,80,1,interieur,voiture,oui,bon,1901000
Isoraka,51,3,interieur,voiture,non,moyen,1883000
Andavamamba,70,1,interieur,voiture,non,bon,874000
Ambatoroka,54,2,interieur,voiture,non,bon,1129000
Andavamamba,37,2,interieur,voiture_avec_parking,non,bon,792000
Ankatso,117,2,interieur,voiture,oui,moyen,1665000
Ivandry,34,2,exterieur,moto,non,bon,1605000
Ankorondrano,65,1,exterieur,voiture_avec_parking,oui,bon,3029000
Ambatoroka,96,2,interieur,voiture_avec_parking,non,bon,1670000
Analakely,52,1,interieur,moto,non,moyen,1016000
Analakely,45,3,interieur,sans,oui,moyen,1449000
Isoraka,79,3,interieur,moto,non,moyen,2192000
Andavamamba,65,1,interieur,sans,non,mauvais,426000
Ambatoroka,19,1,interieur,voiture,non,bon,875000
Itaosy,61,1,interieur,voiture,non,bon,1016000
Alasora,67,2,interieur,moto,oui,moyen,1485000
Itaosy,35,4,interieur,moto,non,moyen,636000
Itaosy,49,2,exterieur,voiture,oui,mauvais,690000
Ambatoroka,43,2,interieur,sans,non,moyen,506000
Ambatoroka,69,3,exterieur,voiture,non,moyen,1163000
Itaosy,42,2,interieur,moto,non,bon,833000
Mahamasina,59,2,interieur,voiture_avec_parking,non,bon,1614000
Andavamamba,45,1,interieur,voiture_avec_parking,non,bon,752000
Itaosy,60,1,interieur,voiture,non,bon,1015000
Isoraka,71,2,interieur,voiture,oui,moyen,2620000
Itaosy,51,3,interieur,moto,oui,bon,1032000
Ankorondrano,54,2,interieur,voiture,oui,bon,2898000
Ankorondrano,58,2,interieur,voiture,non,bon,2559000
Andavamamba,58,2,interieur,sans,oui,moyen,709000
Analakely,92,2,interieur,voiture_avec_parking,non,bon,2244000
Isoraka,119,3,interieur,sans,non,bon,3055000
Andavamamba,62,1,exterieur,voiture_avec_parking,non,moyen,857000
Ivandry,60,4,exterieur,voiture,oui,moyen,3092000
Alasora,57,2,exterieur,voiture,oui,bon,1551000
Mahamasina,15,2,exterieur,moto,non,moyen,497000
Ankorondrano,39,1,exterieur,moto,non,bon,1425000
Ankatso,45,2,interieur,moto,non,moyen,652000
Isoraka,15,2,interieur,voiture,non,bon,1410000
Ambatoroka,15,1,interieur,voiture,non,moyen,722000
Ambatoroka,45,1,interieur,voiture,non,bon,1130000
Analakely,75,4,interieur,voiture_avec_parking,non,bon,2151000
Ambatoroka,72,2,interieur,voiture,non,bon,1336000
Ankatso,29,1,interieur,voiture,oui,moyen,921000
Mahamasina,45,3,interieur,voiture,oui,moyen,1398000
Ankorondrano,73,3,interieur,voiture_avec_parking,non,bon,3106000
Itaosy,37,1,interieur,voiture,non,bon,733000
Ivandry,17,2,interieur,voiture,non,bon,1843000
Isoraka,63,1,exterieur,voiture_avec_parking,non,moyen,1896000
Analakely,48,1,interieur,voiture,non,bon,1429000
Andavamamba,56,2,interieur,voiture_avec_parking,non,bon,1061000
Ankatso,61,1,interieur,voiture,non,moyen,878000
Itaosy,61,3,interieur,voiture_avec_parking,oui,bon,1477000
Ankatso,73,2,interieur,voiture,oui,moyen,1209000
Itaosy,85,1,exterieur,voiture,non,moyen,922000
Ivandry,15,2,interieur,voiture,non,bon,1712000
Mahamasina,45,1,interieur,voiture,non,moyen,947000
Mahamasina,48,1,exterieur,moto,oui,moyen,1093000
Mahamasina,55,3,exterieur,voiture,non,moyen,1058000
Itaosy,33,2,interieur,moto,non,moyen,562000
Ankorondrano,34,2,interieur,moto,non,bon,1732000
Isoraka,47,3,interieur,voiture_avec_parking,non,bon,2549000
Itaosy,50,3,exterieur,voiture,oui,moyen,1011000
Ivandry,63,1,exterieur,moto,non,bon,2045000
Isoraka,57,2,interieur,moto,non,mauvais,1592000
Mahamasina,50,3,exterieur,voiture_avec_parking,non,moyen,1365000
Andavamamba,55,2,interieur,voiture_avec_parking,non,moyen,975000
Ambatoroka,37,2,interieur,voiture_avec_parking,non,mauvais,831000
Analakely,56,3,interieur,moto,oui,moyen,1560000
Andavamamba,98,2,interieur,voiture,non,bon,1231000
Ambatoroka,62,2,interieur,moto,non,bon,1228000
Isoraka,45,1,interieur,voiture,non,bon,1701000
Alasora,15,2,interieur,sans,oui,moyen,969000
Mahamasina,46,1,interieur,moto,non,moyen,888000
Analakely,77,3,exterieur,voiture,oui,bon,2200000
Itaosy,99,2,interieur,voiture,oui,moyen,1179000
Andavamamba,111,2,exterieur,voiture,non,bon,1069000
Itaosy,92,2,interieur,moto,non,mauvais,984000
Ankorondrano,73,2,interieur,sans,oui,bon,2915000
Mahamasina,66,2,interieur,voiture_avec_parking,non,moyen,1529000
Ambatoroka,94,1,interieur,voiture_avec_parking,non,mauvais,1364000
Ankatso,51,2,interieur,voiture,non,bon,1128000
Ambatoroka,50,1,exterieur,voiture,non,moyen,753000
Mahamasina,59,2,interieur,moto,non,bon,1277000
Mahamasina,21,1,interieur,sans,non,moyen,614000
Andavamamba,16,2,interieur,voiture,oui,moyen,719000
Itaosy,61,1,interieur,sans,oui,bon,933000
Andavamamba,25,3,interieur,moto,oui,moyen,634000
Ambatoroka,61,2,exterieur,voiture,non,moyen,1106000
Ankatso,76,3,interieur,voiture,non,moyen,1096000
Mahamasina,16,1,interieur,voiture_avec_parking,oui,bon,1242000
Ankorondrano,34,2,interieur,voiture,non,bon,2019000
Andavamamba,30,2,interieur,moto,non,moyen,429000
Alasora,37,1,exterieur,moto,non,bon,977000
Andavamamba,77,1,exterieur,moto,oui,mauvais,685000
Analakely,54,1,exterieur,moto,oui,bon,1451000
Andavamamba,87,3,exterieur,voiture,non,moyen,1050000
Alasora,62,1,interieur,moto,non,bon,1499000
Ivandry,76,2,interieur,moto,non,moyen,2337000
Alasora,101,1,interieur,voiture_avec_parking,oui,moyen,2281000
Andavamamba,40,2,interieur,moto,non,mauvais,496000
Ambatoroka,15,2,interieur,voiture,oui,bon,988000
Analakely,48,3,interieur,moto,oui,bon,1714000
Ambatoroka,107,1,exterieur,moto,non,bon,1411000
Ivandry,45,2,exterieur,voiture,oui,bon,2753000
Mahamasina,111,2,interieur,voiture,oui,bon,2337000
Analakely,68,3,interieur,voiture_avec_parking,non,moyen,1864000
Andavamamba,92,1,interieur,voiture_avec_parking,non,bon,1327000
Alasora,37,3,interieur,voiture,non,bon,1256000
Ivandry,39,2,exterieur,voiture,oui,bon,2464000
Ivandry,15,1,interieur,moto,oui,moyen,1616000
Ambatoroka,48,3,exterieur,moto,oui,mauvais,1079000
Ambatoroka,48,3,interieur,voiture_avec_parking,non,moyen,1273000
Itaosy,74,1,exterieur,sans,non,moyen,533000
Analakely,40,2,exterieur,voiture,non,moyen,956000
Itaosy,21,3,interieur,sans,oui,bon,921000
Ambatoroka,52,2,interieur,voiture_avec_parking,oui,bon,1646000
Mahamasina,49,1,interieur,moto,non,bon,1253000
Analakely,39,4,interieur,moto,oui,mauvais,1276000
Ivandry,31,1,interieur,voiture,oui,mauvais,1855000
Ankorondrano,55,2,exterieur,voiture,non,moyen,1803000
Analakely,19,1,interieur,moto,oui,bon,1308000
Andavamamba,55,2,interieur,voiture,non,bon,913000
Ankatso,51,2,interieur,voiture_avec_parking,non,bon,1034000
Ankorondrano,45,1,interieur,voiture,non,bon,2073000
Ivandry,70,2,interieur,voiture_avec_parking,non,bon,3247000
Ambatoroka,15,1,interieur,voiture,non,bon,725000
Ambatoroka,47,3,interieur,moto,non,bon,984000
Ivandry,58,2,interieur,voiture_avec_parking,non,mauvais,2474000
Ankorondrano,46,2,interieur,voiture,non,mauvais,1710000
Itaosy,37,2,interieur,moto,non,bon,782000
Ivandry,26,1,interieur,sans,oui,mauvais,1448000
Ambatoroka,63,2,interieur,voiture_avec_parking,non,bon,1339000
Itaosy,61,1,interieur,moto,oui,moyen,936000
Isoraka,74,1,interieur,voiture,oui,bon,2657000
Ankorondrano,81,1,interieur,moto,non,mauvais,1850000
Ankatso,50,2,interieur,voiture_avec_parking,non,bon,1371000
Ankorondrano,64,1,interieur,voiture,non,mauvais,1990000
Mahamasina,76,2,exterieur,voiture,non,mauvais,1049000
Ivandry,42,1,interieur,moto,non,moyen,1707000
Isoraka,56,4,interieur,moto,non,mauvais,1829000
Ankorondrano,56,1,interieur,voiture_avec_parking,non,bon,2567000
Mahamasina,99,2,interieur,sans,oui,bon,1667000
Itaosy,50,1,exterieur,sans,non,bon,592000
Ivandry,59,2,interieur,voiture,non,moyen,2230000
Ambatoroka,54,3,interieur,voiture_avec_parking,non,bon,1594000
Alasora,85,1,interieur,voiture_avec_parking,non,bon,1998000
Ankatso,105,2,interieur,moto,non,mauvais,1228000
Ambatoroka,50,1,exterieur,voiture,non,mauvais,677000
Ambatoroka,46,2,interieur,moto,non,moyen,722000
Isoraka,30,2,interieur,sans,oui,moyen,1559000
Andavamamba,87,2,interieur,sans,non,moyen,932000
Analakely,65,2,interieur,sans,non,bon,1541000
Ivandry,78,1,interieur,voiture_avec_parking,non,mauvais,2742000
Alasora,21,3,interieur,moto,non,mauvais,640000
Isoraka,52,1,interieur,voiture,non,bon,1768000
Alasora,90,2,interieur,voiture,oui,moyen,2018000
Analakely,25,1,exterieur,voiture,oui,bon,1252000
Ivandry,60,1,interieur,sans,non,moyen,1601000
Ankorondrano,65,2,interieur,moto,non,moyen,1940000
Andavamamba,77,1,interieur,voiture_avec_parking,non,bon,1118000
Ivandry,43,3,interieur,sans,non,bon,2145000
Mahamasina,98,1,interieur,sans,oui,bon,1806000
Ankatso,51,1,interieur,moto,non,moyen,776000
Andavamamba,83,3,interieur,voiture,non,bon,1136000
Alasora,83,3,interieur,voiture,non,moyen,1648000
Analakely,73,1,interieur,voiture,non,bon,1782000
Andavamamba,111,1,interieur,moto,non,bon,1148000
Ankorondrano,46,2,exterieur,voiture,oui,moyen,2145000
Ambatoroka,56,1,interieur,voiture,oui,bon,1404000
Alasora,55,2,exterieur,voiture_avec_parking,oui,bon,1854000
Itaosy,82,1,interieur,voiture_avec_parking,oui,mauvais,1199000
Andavamamba,15,1,exterieur,voiture_avec_parking,non,bon,691000
Mahamasina,68,1,interieur,voiture,non,mauvais,1033000
Mahamasina,41,2,interieur,voiture,non,moyen,995000
Ambatoroka,45,2,interieur,moto,non,moyen,889000
Ankatso,81,2,interieur,sans,non,mauvais,788000
Ankorondrano,47,1,interieur,voiture_avec_parking,non,moyen,2015000
Itaosy,44,1,interieur,voiture,oui,moyen,876000
Mahamasina,15,1,exterieur,moto,oui,bon,769000
Ambatoroka,107,2,exterieur,voiture_avec_parking,non,mauvais,1536000
Itaosy,72,2,interieur,moto,non,bon,778000
Ankatso,54,2,interieur,moto,non,bon,1066000
Ankatso,47,3,exterieur,sans,non,moyen,598000
Mahamasina,24,1,interieur,voiture_avec_parking,oui,moyen,1251000
Analakely,45,1,interieur,moto,non,bon,980000
Ankorondrano,66,2,exterieur,moto,non,bon,2004000
Analakely,19,1,interieur,voiture_avec_parking,non,bon,1515000
Ankorondrano,53,2,interieur,voiture,non,bon,2306000
Ambatoroka,31,3,interieur,voiture,oui,mauvais,961000
Ankatso,60,1,interieur,moto,oui,bon,1177000
Ivandry,80,1,interieur,voiture,non,moyen,2829000
Ambatoroka,91,3,interieur,moto,non,moyen,1269000
Isoraka,67,2,interieur,sans,non,moyen,1615000
Ivandry,29,1,interieur,sans,oui,bon,2394000
Ambatoroka,58,3,interieur,moto,oui,bon,1352000
Isoraka,75,2,interieur,voiture,non,moyen,2144000
Ankorondrano,91,3,interieur,voiture,oui,bon,3639000
Ambatoroka,42,1,exterieur,voiture_avec_parking,non,moyen,1043000
Alasora,79,1,interieur,voiture,non,bon,1686000
Andavamamba,66,1,interieur,moto,non,bon,916000
Alasora,86,2,exterieur,voiture_avec_parking,non,bon,1704000
Alasora,33,3,exterieur,moto,non,bon,1068000
Ankatso,60,2,interieur,voiture,oui,mauvais,1146000
Andavamamba,79,3,interieur,sans,non,bon,930000
Itaosy,64,1,exterieur,moto,non,bon,663000
Ankorondrano,80,1,interieur,voiture,non,moyen,2443000
Ankatso,45,3,interieur,voiture,oui,bon,1552000
Itaosy,66,1,exterieur,voiture,oui,bon,1160000
Alasora,60,1,exterieur,voiture,non,bon,1098000
Alasora,22,2,interieur,voiture,non,bon,1118000
Alasora,77,1,interieur,voiture_avec_parking,non,moyen,1810000
Alasora,45,2,interieur,voiture_avec_parking,non,moyen,1238000
Andavamamba,60,4,exterieur,voiture_avec_parking,oui,moyen,1082000
Ivandry,50,3,interieur,voiture,oui,mauvais,2762000
Ivandry,40,3,interieur,voiture,non,bon,2390000
Ambatoroka,46,2,exterieur,moto,non,bon,942000
Analakely,79,1,interieur,moto,non,bon,1614000
Mahamasina,73,2,interieur,voiture_avec_parking,non,bon,1782000
Ivandry,48,2,exterieur,voiture_avec_parking,oui,moyen,2865000
Ambatoroka,48,4,exterieur,voiture,non,moyen,1059000
Ivandry,60,1,exterieur,voiture_avec_parking,non,mauvais,2153000
Alasora,63,1,interieur,voiture,non,bon,1386000
Alasora,86,2,interieur,voiture_avec_parking,non,moyen,1758000
Isoraka,72,1,interieur,sans,non,moyen,1891000
Ambatoroka,88,1,interieur,voiture,non,bon,1354000
Itaosy,73,3,interieur,voiture,non,bon,1400000
Andavamamba,96,4,interieur,voiture,oui,bon,1513000
Ankorondrano,80,1,exterieur,voiture,oui,bon,2979000
Ankorondrano,52,2,interieur,moto,oui,moyen,2424000
Analakely,76,3,interieur,voiture_avec_parking,oui,bon,2465000
Mahamasina,44,2,interieur,voiture,oui,moyen,1326000
Ambatoroka,44,2,exterieur,voiture,non,bon,898000
Itaosy,20,1,exterieur,voiture,non,moyen,334000
Isoraka,66,2,exterieur,moto,non,bon,1867000
Ankatso,92,1,exterieur,voiture,non,moyen,1087000
Ankatso,71,2,interieur,moto,non,moyen,869000
Ambatoroka,96,2,exterieur,voiture,non,bon,1405000
Isoraka,79,3,exterieur,voiture,non,bon,2416000
Alasora,25,3,interieur,moto,non,moyen,819000
Ambatoroka,99,4,interieur,sans,non,bon,1481000
Andavamamba,42,1,interieur,voiture,non,bon,565000
Isoraka,50,3,interieur,sans,non,mauvais,1516000
Ankatso,99,1,interieur,voiture_avec_parking,non,bon,1424000
Ivandry,63,1,exterieur,moto,non,moyen,1762000
Ambatoroka,15,1,interieur,voiture,oui,moyen,834000
Mahamasina,74,1,interieur,moto,non,moyen,1138000
Itaosy,31,2,interieur,voiture,non,mauvais,429000
Ankorondrano,42,1,interieur,sans,non,bon,1517000
Alasora,85,1,exterieur,sans,non,bon,1168000
Ankorondrano,15,4,exterieur,moto,non,bon,1342000
Ankatso,37,1,interieur,voiture,non,bon,966000
Mahamasina,59,1,exterieur,voiture,oui,bon,1403000
Ambatoroka,48,3,interieur,voiture_avec_parking,non,moyen,1313000
Andavamamba,32,4,interieur,voiture,non,bon,766000
Andavamamba,44,2,exterieur,voiture,non,bon,632000
Mahamasina,51,4,interieur,moto,non,mauvais,1108000
Ankorondrano,56,2,exterieur,sans,non,bon,1795000
Ankatso,84,2,interieur,moto,non,mauvais,899000
Isoraka,76,2,interieur,moto,oui,bon,2629000
Alasora,15,3,interieur,moto,non,bon,1046000
Ivandry,15,2,exterieur,moto,non,bon,1360000
Ankatso,66,2,interieur,moto,oui,moyen,1171000
Alasora,83,3,interieur,voiture_avec_parking,non,bon,1951000
Itaosy,81,1,interieur,voiture_avec_parking,non,moyen,1118000
Andavamamba,83,1,interieur,voiture,oui,bon,1218000
Alasora,16,1,exterieur,moto,non,moyen,346000
Ankatso,91,1,exterieur,voiture_avec_parking,non,bon,1344000
Andavamamba,93,1,interieur,sans,non,bon,877000
Alasora,68,1,exterieur,voiture,non,bon,1379000
Mahamasina,32,4,interieur,voiture_avec_parking,oui,mauvais,1502000
Alasora,47,2,interieur,moto,non,bon,1094000
Ankorondrano,36,3,interieur,voiture,non,bon,2369000
Alasora,72,2,interieur,voiture,non,mauvais,1239000
Ivandry,40,2,interieur,voiture_avec_parking,oui,bon,3240000
Ambatoroka,78,1,exterieur,moto,non,mauvais,815000
Ivandry,72,3,interieur,moto,non,moyen,2660000
Mahamasina,89,1,interieur,voiture_avec_parking,non,moyen,1529000
Ankorondrano,52,4,interieur,voiture,non,bon,2729000
Ivandry,98,3,interieur,voiture_avec_parking,non,bon,4014000
Isoraka,46,1,interieur,voiture,non,bon,1911000
Itaosy,59,4,exterieur,moto,non,moyen,690000
Ambatoroka,15,1,interieur,sans,non,bon,533000
Ambatoroka,72,2,interieur,moto,non,bon,1299000
Isoraka,37,1,exterieur,voiture,oui,bon,1845000
Ankorondrano,42,2,interieur,moto,non,moyen,1713000
